Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW39,GW40,GW41,GW42,GW43,GW44,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
44,Ezri,Konsa,£4.40,0,DEF,Aston Villa,1,0,0,12,2,110,2.9,6,633,45,3322,6,0,0,0,0,100,-£0.10,£0.00,136598,0,214232,0,568.4,116.2,72,75.7,38,,,,,,,0,44,-1,0,2,7,#DIV/0!,0.05,1.37
45,Leon,Bailey,£4.30,0,MID,Aston Villa,2.7,4,5,8,2,100,3,6,242,32,1964,4,0,0,0,0,100,-£0.70,£0.00,2379892,0,1103647,0,339.6,452.8,540,132.8,38,,,,,,,0,43,-7,0,3,7,#DIV/0!,0.46,1.61
46,Douglas Luiz,Douglas Luiz,£4.80,0,MID,Aston Villa,1,6,7,13,7,142,3.8,17,594,35,2922,6,1,0,0,0,100,-£0.20,£0.00,174571,0,213403,0,698.4,668.6,261,162.7,38,,,,,,,0,48,-2,0,3,7,#DIV/0!,0.18,1.32
47,Jacob,Ramsey,£5.10,0,MID,Aston Villa,1.5,6,8,11,9,135,3.9,13,470,33,2634,5,0,0,0,0,100,-£0.40,£0.00,387464,0,352106,0,653.4,537.8,456,164.7,38,,,,,,,0,51,-4,0,3,7,#DIV/0!,0.27,1.38
49,Tim,Iroegbunam,£4.50,0,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,4027,0,1334,0,0,0,0,0,38,,,,,,,0,45,0,0,3,7,#DIV/0!,0,0
50,Diego Carlos,Diego Carlos,£4.70,0,DEF,Aston Villa,0.2,0,0,0,0,4,1.3,0,20,3,205,0,0,0,0,0,100,-£0.30,£0.00,103129,0,15706,0,24.8,13.2,32,7,38,,,,,,,0,47,-3,0,2,7,#DIV/0!,0.21,0.84
51,Anwar,El Ghazi,£4.80,0,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.20,£0.00,13417,0,2511,0,0,0,0,0,38,,,,,,,0,48,-2,0,3,7,#DIV/0!,0,0
52,Keinan,Davis,£5.40,0,FWD,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.10,£0.00,14028,0,586,0,0,0,0,0,38,,,,,,,0,54,-1,0,4,7,#DIV/0!,0,0
53,Boubacar,Kamara,£4.80,0,MID,Aston Villa,0.1,0,1,3,2,44,1.8,0,235,30,1773,4,0,0,0,0,100,-£0.20,£0.00,25542,0,13468,0,288.2,124.7,43,45.7,38,,,,,,,0,48,-2,0,3,7,#DIV/0!,0.06,1.68
54,Cameron,Archer,£4.20,0,FWD,Aston Villa,1.7,0,0,0,0,6,1,0,13,1,43,0,0,0,0,0,0,-£0.30,£0.00,888873,0,343635,0,1.8,2.4,6,0.9,38,,,,,,,0,42,-3,0,4,7,#DIV/0!,0.02,0.77
